,content_id,content_type,title,headline,description,publish_date,slug,description,state,duration,video_series,author_1,author_2,tag_1,tag_2,tag_3,thumbnail_1_URL,thumbnail_1_size,thumbnail_1_width,thumbnail_1_height,thumbnail_2_URL,thumbnail_2_size,thumbnail_2_width,thumbnail_2_height,thumbnail_3_URL,thumbnail_3_size,thumbnail_3_width,thumbnail_3_height
0,5c507e14e4b0b6ea190cbbdb,article,,"Win a 65-inch 4K TV, Xbox One X and a Copy of Anthem",Send in your best gameplay clips from the demo to win an awesome prize.,2019-01-31T12:19:19+0000,win-a-65-inch-4k-tv-xbox-one-x-and-a-copy-of-anthem,Send in your best gameplay clips from the demo to win an awesome prize.,published,,,IGN Staff,,news,anthem,bioware,https://assets1.ignimgs.com/2019/01/22/ignfirst-anthem-blogroll-2-1548131181573_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/22/ignfirst-anthem-blogroll-2-1548131181573_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/22/ignfirst-anthem-blogroll-2-1548131181573_large.jpg,large,626.0,352.0
1,5c52cbbfe4b0b6ea190cbda5,article,,"Daily Deals: PureVPN for £2.25 per Month, Register to Find out More About Samsung Galaxy S10 and Win £1000 Currys PC World Voucher","Get Kingdom Hearts 3 (PS4/ Xbox One) for £34.99 via TopCashback, save 50% off Audible Membership for 3 months, 20% off Eufy products.",2019-01-31T12:04:11+0000,uk-daily-deals-purevpn-for-225-per-month-register-to-find-out-more-about-samsung-galaxy-s10-and-win-1000-currys-pc-world-voucher,"Get Kingdom Hearts 3 (PS4/ Xbox One) for £34.99 via TopCashback, save 50% off Audible Membership for 3 months, 20% off Eufy products.",published,,,Dominyka Bucelyte,,news,daily-deals,ign-daily-deals,https://assets1.ignimgs.com/2019/01/31/purevpn-1548936185012_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/31/purevpn-1548936185012_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/31/purevpn-1548936185012_large.jpg,large,626.0,352.0
2,5c52c7d5e4b0b6ea190cbda3,article,,Nintendo Switch Sales Pass 32 Million,"The Nintendo Switch is continuing its successful run as sales of Nintendo's latest console have surpassed 32 million units since its launch on March 3, 2017.",2019-01-31T10:26:06+0000,nintendo-switch-sales-pass-32-million,"The Nintendo Switch is continuing its successful run as sales of Nintendo's latest console have surpassed 32 million units since its launch on March 3, 2017.",published,,,Adam Bankhurst,,news,action,company,https://assets1.ignimgs.com/2018/09/26/nintendoswitch-blogroll-1537989454357_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2018/09/26/nintendoswitch-blogroll-1537989454357_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2018/09/26/nintendoswitch-blogroll-1537989454357_large.jpg,large,626.0,352.0
3,5c52a55ae4b0b6ea190cbd95,article,,"Nintendo Releases New Sales Figures for Pokemon Let's Go, Smash Bros. Ultimate, Zelda: Breath of the Wild",Nintendo has released sales figures for its top-selling titles across the Switch and 3DS consoles.,2019-01-31T09:33:45+0000,nintendo-releases-new-sales-figures-for-pokemon-lets-go-smash-bros-ultimate-zelda-breath-of-the-wild,Nintendo has released sales figures for its top-selling titles across the Switch and 3DS consoles.,published,,,Hope Corrigan,,news,adventure,company,https://assets1.ignimgs.com/2017/01/13/nintendoswitch-topslider-1280x720-1484324657494_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2017/01/13/nintendoswitch-topslider-1280x720-1484324657494_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2017/01/13/nintendoswitch-topslider-1280x720-1484324657494_large.jpg,large,626.0,352.0
4,5c52b069e4b0b6ea190cbd9d,article,,"Fortnite Week 9 Challenges - Golden Balloon Map, Dance Locations, and X-4 Stormwing Timed Trials - Season 7",The ninth week of Season 7 is here and we have the dance map and locations.,2019-01-31T08:23:04+0000,fortnite-week-9-challenges-golden-balloon-map-dance-locations-and-x-4-stormwing-timed-trials-season-7,The ninth week of Season 7 is here and we have the dance map and locations.,published,,,Michael Koczwara,,game,fortnite,ps4,https://assets1.ignimgs.com/2018/12/13/s7chalthumb3-1544685684462_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2018/12/13/s7chalthumb3-1544685684462_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2018/12/13/s7chalthumb3-1544685684462_large.jpg,large,626.0,352.0
6,5c52a611e4b0c3a735a33c72,article,,Mario Kart Tour Delayed to Summer 2019,The Mario Kart game which was planned for release early this year has been pushed back.,2019-01-31T07:58:36+0000,mario-kart-tour-delayed-to-summer-2019,The Mario Kart game which was planned for release early this year has been pushed back.,published,,,Hope Corrigan,,news,action,game,https://assets1.ignimgs.com/2014/08/29/mariokart81280jpg-dff509_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2014/08/29/mariokart81280jpg-dff509_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2014/08/29/mariokart81280jpg-dff509_large.jpg,large,626.0,352.0
9,5c525716e4b0775fa30cf758,article,,Amazing Spider-Man Celebrates Peter Parker's Villains (The Amazing Spider-Man #14 Review),"In the latest chapter of Amazing Spider-Man, it's Aunt May and Spidey's rogues who steal the show.",2019-01-31T02:27:22+0000,amazing-spider-man-celebrates-peter-parkers-villains-the-amazing-spider-man-14-review,"In the latest chapter of Amazing Spider-Man, it's Aunt May and Spidey's rogues who steal the show.",published,,,Jesse Schedeen,,review,book,the-amazing-spider-man-2019-14,https://assets1.ignimgs.com/2019/01/31/stl105725-2-1548901616213_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/31/stl105725-2-1548901616213_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/31/stl105725-2-1548901616213_large.jpg,large,626.0,352.0
10,5c524628e4b0b6ea190cbd63,article,,Star Trek: Discovery Producer Alex Kurtzman Gives Update on Picard TV Series ,Star Trek: Discovery executive producer Alex Kurtzman gives us an update on the new Picard series airing on CBS All Access in late 2019. ,2019-01-31T02:10:07+0000,star-trek-discovery-producer-alex-kurtzman-gives-update-on-picard-tv-series,Star Trek: Discovery executive producer Alex Kurtzman gives us an update on the new Picard series airing on CBS All Access in late 2019. ,published,,,David Griffin,,news,cbs,cbs-all-access,https://assets1.ignimgs.com/2019/01/31/picard-1080-1548895569705_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2019/01/31/picard-1080-1548895569705_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2019/01/31/picard-1080-1548895569705_large.jpg,large,626.0,352.0
11,5c524d2fe4b0775fa30cf74d,article,,First Trailer for Fast &amp; Furious Presents: Hobbs &amp; Shaw Drops Friday,"Dwayne ""The Rock"" Johnson has teased fans with a trailer to come this Friday.",2019-01-31T01:36:43+0000,first-trailer-for-fast-furious-presents-hobbs-shaw-drops-friday,"Dwayne ""The Rock"" Johnson has teased fans with a trailer to come this Friday.",published,,,Hope Corrigan,,news,action,crime,https://assets1.ignimgs.com/2017/10/06/spinoff-1507255154249_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2017/10/06/spinoff-1507255154249_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2017/10/06/spinoff-1507255154249_large.jpg,large,626.0,352.0
12,5bbd0037e4b0340cf734bcbc,article,,Update: James Gunn in Talks to Direct Suicide Squad Reboot,DC may have turned its eye to the former Guardians of the Galaxy director for its Suicide Squad sequel.,2019-01-31T01:33:58+0000,james-gunn-to-reportedly-write-possibly-direct-suicide-squad-2,DC may have turned its eye to the former Guardians of the Galaxy director for its Suicide Squad sequel.,published,,,Nick Santangelo,,news,action,adventure,https://assets1.ignimgs.com/2018/07/20/james-gunn-28663744545-1532120410460_compact.jpg,compact,306,172,https://assets1.ignimgs.com/2018/07/20/james-gunn-28663744545-1532120410460_medium.jpg,medium,466,262,https://assets1.ignimgs.com/2018/07/20/james-gunn-28663744545-1532120410460_large.jpg,large,626.0,352.0
